Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Notebook HP Envy 15 x360 Ryzen7 7730U/16GB/512GB SSD/15.6"" FHD Touch OLED/Backlit Kb/Win11",Hp,RYZEN7 7730U,16 GB,512 GB SSD,"58.480,00 ???.",
Anhoch,"Notebook Lenovo Gaming 3 i7-12650H 16GB/512GB/RTX3050 Ti 4GB/16"" FullHD AG 165Hz 350N/DOS",Lenovo,I7 12650H,16 GB,512 GB SSD,"53.980,00 ???.","51.980,00 ???."
Anhoch,"Notebook Lenovo ThinkPad E16 G2 Ultra 5 125U/16GB/512GB/16"" WUXGA IPS/Backlit KB/FP//Dos",Lenovo,ULTRA 5 125U,16 GB,512 GB SSD,"61.980,00 ???.","57.980,00 ???."
Anhoch,"Notebook Lenovo LOQ Gaming i5-13450HX/16GB/512GB/RTX 4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,I5 13450HX,16 GB,512 GB SSD,"53.980,00 ???.",
Anhoch,"Notebook HP ProBook 455 G10 Ryzen5 7530U 8GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS",Hp,RYZEN5 7530U,8 GB,512 GB SSD,"28.980,00 ???.",
Anhoch,"Notebook Acer NITRO AN515 i5-11400H 8GB/512GB SSD/RTX3050 4GB/15.6"" FUllHD IPS 144Hz/Linux/Black",Acer,I5 11400H,8 GB,512 GB SSD,"41.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I3 1215U,8 GB,256 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3530 i7-1355U 8GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I7 1355U,8 GB,512 GB SSD,"34.980,00 ???.",
Anhoch,"Notebook Lenovo IP3 Pentium7505 4GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray",Lenovo,PENTIUM7505,4 GB,256 GB SSD,"13.480,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad 1 i3-1215U/8GB/512GB SSD/15.6"" FHD/DOS",Lenovo,I3 1215U,8 GB,512 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB SSD/15.6"" FHD IPS AG 250nits/Arc.Grey",Lenovo,RYZEN7 7730U,16 GB,512 GB SSD,"27.980,00 ???.",
Anhoch,"Notebook Gigabyte G6X 9KG Gaming i7-13650HX/16GB/1TB SSD/RTX4060 8GB/16.0"" FHD+/165Hz IPS/DOS",Gigabyte,I7 13650HX,16 GB,1 TB SSD,"64.980,00 ???.","63.980,00 ???."
Anhoch,"Notebook HP OmniBook X Snapdragon X Plus/16GB/512GB /14"" 2.2K Touch/Backlit Kb/Win11/Silver",Hp,SNAPDRAGON X PLUS,16 GB,512 GB SSD,"46.980,00 ???.",
Anhoch,"Notebook HP Envy 14 x360 2in1 Ultra 5 120U/8GB/512GB SSD/14"" FHD Touch/Backlit Kb/Win11/Silver",Hp,ULTRA 5 120U,8 GB,512 GB SSD,"44.980,00 ???.",
Anhoch,"Notebook Dell Inspiron 7440 2in1 Ultra 5 120U/8GB/512GB SSD/14"" FHD Touch/Win11H/Ice Blue",Dell,ULTRA 5 120U,8 GB,512 GB SSD,"44.980,00 ???.",
Anhoch,"Notebook HP Envy x360 2in1 Ultra 7 150U/16GB/512GB SSD/14"" FHD Touch/Backlit Kb/Win11",Hp,ULTRA 7 150U,16 GB,512 GB SSD,"54.980,00 ???.","50.980,00 ???."
Anhoch,"Notebook HP 14 i5-1335U/16GB/512GB SSD/14"" FHD IPS AG 300nits/Silver",Hp,I5 1335U,16 GB,512 GB SSD,"25.980,00 ???.",
Anhoch,"Notebook Acer Aspire 3 A315-59-502V i5-1235U 8GB/512GB/15.6"" FullHD IPS /LAN/Silver/DOS",Acer,I5 1235U,8 GB,512 GB SSD,"20.480,00 ???.","18.980,00 ???."
Anhoch,"Notebook HP Victus Gaming Ryzen7 7840HS/16GB/1TB/RTX4050 6GB/16.1"" FHD IPS 144Hz/Backlit Kb/Blue/DOS",Hp,RYZEN7 7840HS,16 GB,1 TB SSD,"63.980,00 ???.","61.980,00 ???."
Anhoch,"Notebook Lenovo ThinkBook 16 G7 Ultra 5 125U/16GB/512GB SSD/16"" WUXGA IPS/Backlit Kb/DOS",Lenovo,ULTRA 5 125U,16 GB,512 GB SSD,"44.980,00 ???.",
Anhoch,"Notebook HP OMEN Transcend i7-13700HX/16GB/512GB/RTX4060 8GB/16.0"" WUXGA IPS 165Hz/Backlit Kb/DOS",Hp,I7 13700HX,16 GB,512 GB SSD,"92.980,00 ???.",
Anhoch,"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/512GB SSD/16"" WUXGA IPS/Backlit Kb/DOS",Lenovo,ULTRA 7 155H,16 GB,512 GB SSD,"51.980,00 ???.",
Anhoch,"Notebook Acer Nitro AN515 Ryzen7 6800H 32GB/1TB SSD/RTX 3070Ti 8GB/15.6"" FullHD IPS 165Hz/Linux",Acer,RYZEN7 6800H,32 GB,1 TB SSD,"74.480,00 ???.",
Anhoch,"Notebook Acer Swift GO 14 Ultra 7 155H/32GB DDR5/1TB/14"" 2.8K OLED 120Hz/Thunderbolt",Acer,ULTRA 7 155H,32 GB,1 TB SSD,"71.980,00 ???.",
Anhoch,"Notebook Gigabyte A16 Gaming i7-13420H/16GB/512GB SSD/RTX 4050 6GB/16.0"" FHD+ 165Hz IPS/Type-C/DOS",Gigabyte,I7 13420H,16 GB,512 GB SSD,"52.980,00 ???.",
Anhoch,"Notebook Acer Nitro Ryzen7 6800H/8GB/512GB SSD/RTX 3050Ti 4GB/15.6"" FHD IPS 144Hz/Bkaclit Kb/Dos",Acer,RYZEN7 6800H,8 GB,512 GB SSD,"47.980,00 ???.",
Anhoch,"Notebook Dell Inspiron 3520 i7-1255U/16GB/512GB SSD/Intel Iris Xe/15.6"" FHD 120Hz/Ubu",Dell,I7 1255U,16 GB,512 GB SSD,"34.980,00 ???.",
