Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Acer Nitro Ryzen7 6800H/8GB/512GB SSD/RTX 3050Ti 4GB/15.6"" FHD IPS 144Hz/Bkaclit Kb/Dos",Acer,Ryzen7 6800H,8,512,4798000,
Anhoch,"Dell Inspiron 3520 i7-1255U/16GB/512GB SSD/Intel Iris Xe/15.6"" FHD 120Hz/Ubu",Dell,I7 1255U,16,512,3498000,
Anhoch,"Dell Vostro 5625 Ryzen5 5625U 8GB/256GB SSD/16"" FHD+/BacklitKB/Win11Pro",Dell,Ryzen5 5625U,8,256,3698000,
Anhoch,"Acer Predator Helios NEO Gaming i9-14900HX/32GB DDR5/1TB SSD/16"" WQXGA 240Hz/RTX 4070 8GB",Acer,I9 14900Hx,32,1024,11998000,
Tehnomarket,"HP 250 G9 i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/T",Hp,I3 1215U,8,512,19999,17980
Tehnomarket,"Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB SSD/15.6"" FHD/DO",Lenovo,Ryzen3 7320U,8,256,19999,17489
Tehnomarket,"HP 15s i3-1215U8GB/512GB/15.6""FHDAG/IntelUHD/GigaLAN/Type-C/DOS/GREY",Hp,I3 1215U,8,512,21299,18980
Tehnomarket,"LENOVO IP3 RYZEN3 3250U 4GB/256GB SSD/15.6"" FHD TN AG/DOS/ARCTIC GRAY",Lenovo,Ryzen3 3250U,4,256,21899,14991
Tehnomarket,"Acer Aspire 3 A315-59-502V i5-1235U 8GB/512GB/15.6"" FullHD IP",Acer,I5 1235U,8,512,21999,20499
Tehnomarket,"Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 1",Dell,I3 1215U,8,256,22999,17591
Tehnomarket,"HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey",Hp,Ryzen3 7320U,8,256,23499,17989
Tehnomarket,"HP 250 G9 I3-1215U 8GB/256GB/15.6"" FHD AG/IRIS XE/GIGALAN/TYPE-C/DOS/D",Hp,I3 1215U,8,256,24699,16991
Tehnomarket,"Lenovo IdeaPad Slim 3 i3-1305U 8GB/256GB SSD/15.6"" FullHD/DOS",Lenovo,I3 1305U,8,256,24999,20991
Tehnomarket,"Acer EX215-23-R3KW Ryzen5 7520U 8GB/512GB SSD/15.6"" FullHD/Ca",Acer,Ryzen5 7520U,8,512,26999,18991
Tehnomarket,"Dell Inspiron 3535 Ryzen5 7530U 16GB/512GB/Radeon 610M/15.6""",Dell,Ryzen5 7530U,16,512,27999,25499
Tehnomarket,"HP 255 G10 Ryzen5 7530U 16GB/512GB/15.6"" FHD/BacklitKb/Silver",Hp,Ryzen5 7530U,16,512,27999,24499
Tehnomarket,"Acer Aspire A315 Ryzen5 3500U 8GB/256GB SSD/GigaLAN/15.6"" Ful",Acer,Ryzen5 3500U,8,256,28499,17991
Tehnomarket,"HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Si",Hp,I5 1334U,16,512,28999,27980
Tehnomarket,"LENOVO IDEAPAD 1 RYZEN5 7520U/8GB/512GB SSD/15.6"" FHD/DOS",Lenovo,Ryzen5 7520U,8,512,30699,19991
Tehnomarket,"Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB SSD/Vega8/15.6"" FH",Dell,Ryzen7 5825U,16,512,30999,28999
